21D0	'Acqua', 'Carro dell'acqua' (Ripa)
48C10	'Architectura', rappresentazioni simboliche, allegorie ed emblemi ~ architettura; 'Architettura' (Ripa)
48C1451	'Architekturbild'
73D81	'Arma Christi'
140	'Astrologia' (Ripa)
49E10	'Astronomia', 'Cosmografia'; 'Cosmografia' (Ripa)
33C8120	'Castità', 'Pudicitia', 'Vergogna honesta' (Ripa)
11D3222	'Christus Rex'
92B11221	'Cornucopia', Corno dell'Abbondanza
73D724	'Epitaphios' ~ compianto sul Cristo morto
92D19161	'Eroti', festa di Venere (Filostrato, Imag. I, 6): gli amorini giocano con le mele in un frutteto dove si erge un altare di Venere; scagliano frecce, ballano, lottano tra loro e tentano di catturare lepri
11D326	'Fons Vitae', 'Fons Pietatis'
11E544	'Fortitudo', Fortezza ~ uno dei sette doni dello Spirito Santo
21C0	'Fuoco', 'Carro del fuoco' (Ripa)
49C122	'Geometria' (~ quadrivio); 'Geometria' (Ripa)
49C111	'Grammatica' (~ trivio); 'Grammatica' (Ripa)
49K10	'Historia'; 'Historia' (Ripa)
11F41221	'Hodegetria' ~ Madonna
11F232	'Immaculata', 'Purisima': Maria Vergine, in genere in piedi sulla mezzaluna, mentre scende dal Cielo, immune dal peccato originale (talvolta raffigurata mentre calpesta il serpente) ~ Maria Vergine a figura eretta senza Gesù Bambino
11D321	'Majestas Domini': Cristo nella mandorla seduto sull'arcobaleno o sulla sfera con il Tetramorfo
11D311	'Mandylion', ovvero il ritratto che si dice sia stato realizzato per il re Abgar di Edessa da Cristo stesso asciugandosi il volto sul velo
11F4135	'Marianum', Madonna in un'aureola o in una mandorla contornata dal rosario, Maria in Gloria
11Q140	'Martirio' (Ripa)
11F25	'Mater Dolorosa'
49C124	'Musica'(~ quadrivio); 'Musica' (Ripa)
48C70	'Musica'; rappresentazioni simboliche, allegorie ed emblemi ~ musica; 'Musica' (Ripa)
54B121	'Occasio', 'Kairos'; 'Occasione' (Ripa)
11Q7325	'Ordinatio', ordinazione ~ il quinto dei sette sacramenti
11D3221	'Pantocrator', (busto di) Cristo, in atto di parlare o benedire, con in mano un libro
49C20	'Philosophia'; 'Filosofia' (Ripa)
48C510	'Pictura'; rappresentazioni simboliche ed emblemi ~ pittura, 'Pittura' (Ripa)
57B21	'Pietas'; 'Pietà' (Ripa)
73D722	'Pietà', 'Vesperbild', 'Marienklage' (senza altri personaggi): Cristo, con o senza la corona di spine, compianto da Maria
96B113	'Pius Aeneas': Enea, conducendo per mano Ascanio, fugge da Troia in fiamme, portando sulle spalle il padre Anchise con i Penati; la moglie Creusa, che si avvia con loro, si smarrisce lungo la strada
11B52	'Quinity', Quinità, la Trinità con la Madonna col Bambino)
11B4	'Ratschluss der Erlosung', 'Prolog im Himmel; Divino decreto della redenzione
11D324	'Salvator Mundi', in atto di benedire; ha il globo in mano o ai suoi piedi
